nameOfIssuer	titleOfClass	cusip	value	sshPrnamt	sshPrnamtType	investmentDiscretion	Sole	Shared	None
ARCOS DORADOS HOLDINGS INC	SHS CLASS -A -	G0457F107	28004	3060500	SH	SOLE	3060500	0	0
AUTONATION INC	COM	05329W102	88822	1898717	SH	SOLE	1898717	0	0
BERKSHIRE HATHAWAY INC DEL	CL B NEW	084670702	11683538	58569972	SH	SOLE	58569972	0	0
CANADIAN NATL RY CO	COM	136375102	1252488	17126874	SH	SOLE	17126874	0	0
CATERPILLAR INC DEL	COM	149123101	1659625	11260857	SH	SOLE	11260857	0	0
COCA COLA FEMSA S A B DE C V	SPON ADR REP L	191241108	412844	6214719	SH	SOLE	6214719	0	0
CROWN CASTLE INTL CORP NEW	COM	22822V101	584539	5332900	SH	SOLE	5332900	0	0
ECOLAB INC	COM	278865100	598506	4366426	SH	SOLE	4366426	0	0
FEDEX CORP	COM	31428X106	726333	3024999	SH	SOLE	3024999	0	0
GRUPO TELEVISA SA	SPON ADR REP ORD	40049J206	269390	16879104	SH	SOLE	16879104	0	0
LIBERTY GLOBAL PLC	SHS CL A	G5480U104	66362	2119515	SH	SOLE	2119515	0	0
LIBERTY GLOBAL PLC	SHS CL C	G5480U120	110745	3639349	SH	SOLE	3639349	0	0
LIBERTY LATIN AMERICA LTD	COM CL A	G9001E102	7205	370424	SH	SOLE	370424	0	0
LIBERTY LATIN AMERICA LTD	COM CL C	G9001E128	12142	636044	SH	SOLE	636044	0	0
MICROSOFT CORP	COM	594918104	3650800	40000000	SH	SOLE	40000000	0	0
UNITED PARCEL SERVICE INC	CL B	911312106	473621	4525329	SH	SOLE	4525329	0	0
WALMART INC	COM	931142103	1032319	11603000	SH	SOLE	11603000	0	0
WALGREENS BOOTS ALLIANCE INC	COM	931427108	227534	3475398	SH	SOLE	3475398	0	0
WASTE MGMT INC DEL	COM	94106L109	1567464	18633672	SH	SOLE	18633672	0	0
