nameOfIssuer	titleOfClass	cusip	value	sshPrnamt	sshPrnamtType	investmentDiscretion	Sole	Shared	None
ADVANCED MICRO DEVICES INC	COM	007903107	87587	8715076	SH	SOLE	NONE	8715076	0	0
AFFILIATED MANAGERS GROUP	COM	008252108	758	4000	SH	SOLE	NONE	4000	0	0
AIR LEASE CORP	CL A	00912X302	21645	507850	SH	SOLE	NONE	507850	0	0
ALEXANDRIA REAL ESTATE EQ IN	COM	015271109	37954	303900	SH	SOLE	NONE	303900	0	0
ALIBABA GROUP HLDG LTD 	SPONSORED ADS 	01609W102	233301	1271120	SH	SOLE	NONE	1271120	0	0
ALPHABET INC	CL C	02079K107	107141	103840	SH	SOLE	NONE	103840	0	0
ALPHABET INC	CL A	02079K305	32	31	SH	SOLE	NONE	31	0	0
ALTRIA GROUP INC	COM	02209S103	40101	643473	SH	SOLE	NONE	643473	0	0
AMAZON COM INC	COM	023135106	111930	77335	SH	SOLE	NONE	77335	0	0
AMERICAN EXPRESS CO	COM	025816109	19	200	SH	SOLE	NONE	200	0	0
AMERICAN HOMES 4 RENT	CL A	02665T306	131867	6567100	SH	SOLE	NONE	6567100	0	0
AMERICOLD RLTY TR	COM	03064D108	716	37500	SH	SOLE	NONE	37500	0	0
ANADARKO PETE CORP	COM	032511107	50316	832908	SH	SOLE	NONE	832908	0	0
ANADARKO PETE CORP	OPTIONS	032511907	2296	7347	SH	Call	SOLE	NONE	7347	0	0
ANTHEM INC	COM	036752103	42292	192500	SH	SOLE	NONE	192500	0	0
APPLE INC	COM	037833100	245331	1462217	SH	SOLE	NONE	1462217	0	0
APPLIED MATLS INC	COM	038222105	5878	105700	SH	SOLE	NONE	105700	0	0
AQUANTIA CORP	COM	03842Q108	1563	99580	SH	SOLE	NONE	99580	0	0
ASML HOLDING N V N Y REGISTRY	SHS	N07059210	22026	110928	SH	SOLE	NONE	110928	0	0
AT HOME GROUP INC	COM	04650Y100	14078	439400	SH	SOLE	NONE	439400	0	0
ATT INC	COM	00206R102	8	225	SH	SOLE	NONE	225	0	0
AVANGRID INC	COM	05351W103	5738	112245	SH	SOLE	NONE	112245	0	0
BAIDU INC	SPON ADR REP A	056752108	8749	39200	SH	SOLE	NONE	39200	0	0
BANCO MACRO SA	SPON ADR B	05961W105	5463	50600	SH	SOLE	NONE	50600	0	0
BANK AMER CORP	COM	060505104	39547	1318668	SH	SOLE	NONE	1318668	0	0
BANKUNITED INC	COM	06652K103	14921	373200	SH	SOLE	NONE	373200	0	0
BARRICK GOLD CORP	COM	067901108	3894	312762	SH	SOLE	NONE	312762	0	0
BARRICK GOLD CORP	OPTIONS	067901908	5374	145557	SH	Call	SOLE	NONE	145557	0	0
BECTON DICKINSON  CO	COM	075887109	75520	348500	SH	SOLE	NONE	348500	0	0
BLACKBERRY LTD	COM	09228F103	48429	4211244	SH	SOLE	NONE	4211244	0	0
BLACKBERRY LTD	OPTIONS	09228F903	3765	16300	SH	Call	SOLE	NONE	16300	0	0
BOEING CO	COM	097023105	64592	197000	SH	SOLE	NONE	197000	0	0
BRIGHTSPHERE INVESTMENT GRP P	SHS	G1644T109	11748	745400	SH	SOLE	NONE	745400	0	0
BROADCOM LTD	SHS	Y09827109	49173	208671	SH	SOLE	NONE	208671	0	0
BROOKFIELD ASSET MGMT INC	CL A LTD VT SH	112585104	25546	655013	SH	SOLE	NONE	655013	0	0
BROOKFIELD PPTY PARTNERS L P	UNIT LTD PARTN	G16249107	73027	3805470	SH	SOLE	NONE	3805470	0	0
BURLINGTON STORES INC	COM	122017106	25332	190250	SH	SOLE	NONE	190250	0	0
CAMPING WORLD HLDGS INC	CL A	13462K109	655	20300	SH	SOLE	NONE	20300	0	0
CATERPILLAR INC DEL	COM	149123101	73401	498039	SH	SOLE	NONE	498039	0	0
CEDAR FAIR L P	DEPOSITRY UNIT	150185106	652	10200	SH	SOLE	NONE	10200	0	0
CENTENE CORP DEL	COM	15135B101	44885	420000	SH	SOLE	NONE	420000	0	0
CHENIERE ENERGY INC	COM NEW	16411R208	171580	3210100	SH	SOLE	NONE	3210100	0	0
CHENIERE ENERGY INC	NOTE 4.250% 3/1	16411RAG4	2207	2843000	SH	SOLE	NONE	2843000	0	0
CHEVRON CORP NEW	COM	166764100	5744	50368	SH	SOLE	NONE	50368	0	0
CIMAREX ENERGY CO	COM	171798101	4114	44000	SH	SOLE	NONE	44000	0	0
CISCO SYS INC	COM	17275R102	41831	975320	SH	SOLE	NONE	975320	0	0
CITIGROUP INC	COM NEW	172967424	48954	725245	SH	SOLE	NONE	725245	0	0
CLIPPER RLTY INC	COM	18885T306	2528	298428	SH	SOLE	NONE	298428	0	0
CLOUDERA INC	COM	18914U100	2092	96929	SH	SOLE	NONE	96929	0	0
CME GROUP INC	COM	12572Q105	22594	139691	SH	SOLE	NONE	139691	0	0
COCA COLA CO	COM	191216100	73701	1697001	SH	SOLE	NONE	1697001	0	0
COLGATE PALMOLIVE CO	COM	194162103	11925	166360	SH	SOLE	NONE	166360	0	0
CONCHO RES INC	COM	20605P101	7945	52850	SH	SOLE	NONE	52850	0	0
CONOCOPHILLIPS	COM	20825C104	54345	916597	SH	SOLE	NONE	916597	0	0
CONTINENTAL RESOURCES INC	COM	212015101	4401	74650	SH	SOLE	NONE	74650	0	0
CORPORACION AMER ARPTS S A	COM	L1995B107	6149	498300	SH	SOLE	NONE	498300	0	0
COSTCO WHSL CORP NEW	COM	22160K105	67500	358224	SH	SOLE	NONE	358224	0	0
CREDICORP LTD	COM	G2519Y108	5317	23420	SH	SOLE	NONE	23420	0	0
DANAHER CORP DEL	COM	235851102	63612	649698	SH	SOLE	NONE	649698	0	0
DELL TECHNOLOGIES INC	COM CL V	24703L103	4226	57726	SH	SOLE	NONE	57726	0	0
DELTA AIR LINES INC DEL	COM NEW	247361702	29082	530600	SH	SOLE	NONE	530600	0	0
DEVON ENERGY CORP NEW	COM	25179M103	56537	1778450	SH	SOLE	NONE	1778450	0	0
DISCOVER FINL SVCS	COM	254709108	89138	1239237	SH	SOLE	NONE	1239237	0	0
DISNEY WALT CO	COM DISNEY	254687106	26599	264822	SH	SOLE	NONE	264822	0	0
DOLLAR GEN CORP NEW	COM	256677105	21	225	SH	SOLE	NONE	225	0	0
DOWDUPONT INC	COM	26078J100	161686	2537845	SH	SOLE	NONE	2537845	0	0
DROPBOX INC	CL A	26210C104	781	25000	SH	SOLE	NONE	25000	0	0
DXC TECHNOLOGY CO	COM	23355L106	994	9887	SH	SOLE	NONE	9887	0	0
ECOLAB INC	COM	278865100	29	215	SH	SOLE	NONE	215	0	0
ENBRIDGE INC	COM	29250N105	85621	2720733	SH	SOLE	NONE	2720733	0	0
EOG RES INC	COM	26875P101	245621	2333252	SH	SOLE	NONE	2333252	0	0
EQUINIX INC	COM PAR $0.001	29444U700	627	1500	SH	SOLE	NONE	1500	0	0
EXTENDED STAY AMER INC	UNIT 99/99/9999B	30224P200	6421	324797	SH	SOLE	NONE	324797	0	0
FACEBOOK INC	CL A	30303M102	3121	19533	SH	SOLE	NONE	19533	0	0
FINISAR CORP	COM NEW	31787A507	11862	750300	SH	SOLE	NONE	750300	0	0
FIVE POINT HOLDINGS LLC	COM CL A	33833Q106	12121	850000	SH	SOLE	NONE	850000	0	0
FORESCOUT TECHNOLOGIES INC	COM	34553D101	811	25000	SH	SOLE	NONE	25000	0	0
FOREST CITY RLTY TR INC	COM CL A	345605109	102348	5051750	SH	SOLE	NONE	5051750	0	0
GDS HLDGS LTD	SPONSORED ADR	36165L108	36250	1320600	SH	SOLE	NONE	1320600	0	0
GENERAL DYNAMICS CORP	COM	369550108	102293	463073	SH	SOLE	NONE	463073	0	0
